tensor(0.1689, device='cuda:0')
tensor(0.2343, device='cuda:0')
tensor(0.1914, device='cuda:0')
tensor(0.2082, device='cuda:0')
tensor(0.2106, device='cuda:0')
tensor(0.1776, device='cuda:0')
tensor(0.1849, device='cuda:0')
tensor(0.1550, device='cuda:0')
tensor(0.1897, device='cuda:0')
tensor(0.1346, device='cuda:0')
tensor(0.1630, device='cuda:0')
tensor(0.1848, device='cuda:0')
tensor(0.1556, device='cuda:0')
tensor(0.1315, device='cuda:0')
tensor(0.1627, device='cuda:0')
tensor(0.1994, device='cuda:0')
tensor(0.2445, device='cuda:0')
tensor(0.1686, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.1746, device='cuda:0')
tensor(0.1381, device='cuda:0')
tensor(0.1293, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1780, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.2069, device='cuda:0')
tensor(0.1778, device='cuda:0')
tensor(0.1808, device='cuda:0')
tensor(0.2283, device='cuda:0')
tensor(0.1436, device='cuda:0')
tensor(0.1708, device='cuda:0')
tensor(0.1523, device='cuda:0')
tensor(0.1822, device='cuda:0')
tensor(0.2029, device='cuda:0')
tensor(0.1502, device='cuda:0')
tensor(0.1547, device='cuda:0')
tensor(0.1844, device='cuda:0')
tensor(0.1662, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.1735, device='cuda:0')
tensor(0.1492, device='cuda:0')
tensor(0.2382, device='cuda:0')
tensor(0.1499, device='cuda:0')
tensor(0.1841, device='cuda:0')
tensor(0.2033, device='cuda:0')
tensor(0.1961, device='cuda:0')
tensor(0.1251, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1740, device='cuda:0')
tensor(0.1345, device='cuda:0')
tensor(0.2040, device='cuda:0')
tensor(0.1455, device='cuda:0')
tensor(0.1330, device='cuda:0')
tensor(0.1607, device='cuda:0')
tensor(0.1179, device='cuda:0')
tensor(0.2176, device='cuda:0')
tensor(0.1023, device='cuda:0')
tensor(0.1893, device='cuda:0')
tensor(0.1966, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.1755, device='cuda:0')
tensor(0.1812, device='cuda:0')
tensor(0.1913, device='cuda:0')
tensor(0.1888, device='cuda:0')
tensor(0.2296, device='cuda:0')
tensor(0.1402, device='cuda:0')
tensor(0.1695, device='cuda:0')
tensor(0.1544, device='cuda:0')
tensor(0.1610, device='cuda:0')
