tensor(1.1355, device='cuda:0')
tensor(0.2250, device='cuda:0')
tensor(0.1333, device='cuda:0')
tensor(0.2470, device='cuda:0')
tensor(0.2021, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.1817, device='cuda:0')
tensor(0.1891, device='cuda:0')
tensor(0.1570, device='cuda:0')
tensor(0.1543, device='cuda:0')
tensor(0.1789, device='cuda:0')
tensor(0.1255, device='cuda:0')
tensor(0.1491, device='cuda:0')
tensor(0.1806, device='cuda:0')
tensor(0.1656, device='cuda:0')
tensor(0.1692, device='cuda:0')
tensor(0.1707, device='cuda:0')
tensor(0.1593, device='cuda:0')
tensor(0.1519, device='cuda:0')
tensor(0.2118, device='cuda:0')
tensor(0.2226, device='cuda:0')
tensor(0.1662, device='cuda:0')
tensor(0.1732, device='cuda:0')
tensor(0.1898, device='cuda:0')
tensor(0.1549, device='cuda:0')
tensor(0.1507, device='cuda:0')
tensor(0.1989, device='cuda:0')
tensor(0.2668, device='cuda:0')
tensor(0.1759, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.1445, device='cuda:0')
tensor(0.1996, device='cuda:0')
tensor(0.1689, device='cuda:0')
tensor(0.1942, device='cuda:0')
tensor(0.1689, device='cuda:0')
tensor(0.2343, device='cuda:0')
tensor(0.1914, device='cuda:0')
tensor(0.2082, device='cuda:0')
tensor(0.2106, device='cuda:0')
tensor(0.1776, device='cuda:0')
tensor(0.1849, device='cuda:0')
tensor(0.1550, device='cuda:0')
tensor(0.1897, device='cuda:0')
tensor(0.1346, device='cuda:0')
tensor(0.1630, device='cuda:0')
tensor(0.1848, device='cuda:0')
tensor(0.1556, device='cuda:0')
tensor(0.1315, device='cuda:0')
tensor(0.1627, device='cuda:0')
tensor(0.1994, device='cuda:0')
tensor(0.2445, device='cuda:0')
tensor(0.1686, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.1746, device='cuda:0')
tensor(0.1381, device='cuda:0')
tensor(0.1293, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1780, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.2069, device='cuda:0')
tensor(0.1778, device='cuda:0')
tensor(0.1808, device='cuda:0')
tensor(0.2283, device='cuda:0')
tensor(0.1436, device='cuda:0')
tensor(0.1708, device='cuda:0')
tensor(0.1523, device='cuda:0')
tensor(0.1822, device='cuda:0')
tensor(0.2029, device='cuda:0')
tensor(0.1502, device='cuda:0')
tensor(0.1547, device='cuda:0')
tensor(0.1844, device='cuda:0')
tensor(0.1662, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.1735, device='cuda:0')
tensor(0.1492, device='cuda:0')
tensor(0.2382, device='cuda:0')
tensor(0.1499, device='cuda:0')
tensor(0.1841, device='cuda:0')
tensor(0.2033, device='cuda:0')
tensor(0.1961, device='cuda:0')
tensor(0.1251, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1740, device='cuda:0')
tensor(0.1345, device='cuda:0')
tensor(0.2040, device='cuda:0')
tensor(0.1455, device='cuda:0')
tensor(0.1330, device='cuda:0')
tensor(0.1607, device='cuda:0')
tensor(0.1179, device='cuda:0')
tensor(0.2176, device='cuda:0')
tensor(0.1023, device='cuda:0')
tensor(0.1893, device='cuda:0')
tensor(0.1966, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.1755, device='cuda:0')
tensor(0.1812, device='cuda:0')
tensor(0.1913, device='cuda:0')
tensor(0.1888, device='cuda:0')
tensor(0.2296, device='cuda:0')
tensor(0.1402, device='cuda:0')
tensor(0.1695, device='cuda:0')
tensor(0.1544, device='cuda:0')
tensor(0.1610, device='cuda:0')
tensor(0.2020, device='cuda:0')
tensor(0.1514, device='cuda:0')
tensor(0.1774, device='cuda:0')
tensor(0.1767, device='cuda:0')
tensor(0.1245, device='cuda:0')
tensor(0.1970, device='cuda:0')
tensor(0.1653, device='cuda:0')
tensor(0.3234, device='cuda:0')
tensor(0.1680, device='cuda:0')
tensor(0.1444, device='cuda:0')
tensor(0.1766, device='cuda:0')
tensor(0.1736, device='cuda:0')
tensor(0.1324, device='cuda:0')
tensor(0.1194, device='cuda:0')
tensor(0.1732, device='cuda:0')
tensor(0.1325, device='cuda:0')
tensor(0.1281, device='cuda:0')
tensor(0.1298, device='cuda:0')
tensor(0.1541, device='cuda:0')
tensor(0.1318, device='cuda:0')
tensor(0.1587, device='cuda:0')
tensor(0.1146, device='cuda:0')
tensor(0.1550, device='cuda:0')
tensor(0.1277, device='cuda:0')
tensor(0.1271, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1350, device='cuda:0')
tensor(0.1265, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.1835, device='cuda:0')
tensor(0.1120, device='cuda:0')
tensor(0.1639, device='cuda:0')
tensor(0.1417, device='cuda:0')
tensor(0.1202, device='cuda:0')
tensor(0.1469, device='cuda:0')
tensor(0.1562, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1542, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.1620, device='cuda:0')
tensor(0.1674, device='cuda:0')
tensor(0.1441, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.2361, device='cuda:0')
tensor(0.1521, device='cuda:0')
tensor(0.1602, device='cuda:0')
tensor(0.1403, device='cuda:0')
tensor(0.1228, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1112, device='cuda:0')
tensor(0.2030, device='cuda:0')
tensor(0.1775, device='cuda:0')
tensor(0.1046, device='cuda:0')
tensor(0.1887, device='cuda:0')
tensor(0.1465, device='cuda:0')
tensor(0.1399, device='cuda:0')
tensor(0.1685, device='cuda:0')
tensor(0.1301, device='cuda:0')
tensor(0.1811, device='cuda:0')
tensor(0.1532, device='cuda:0')
tensor(0.1264, device='cuda:0')
tensor(0.1417, device='cuda:0')
tensor(0.1124, device='cuda:0')
tensor(0.1341, device='cuda:0')
tensor(0.1667, device='cuda:0')
tensor(0.1263, device='cuda:0')
tensor(0.1654, device='cuda:0')
tensor(0.1967, device='cuda:0')
tensor(0.1553, device='cuda:0')
tensor(0.1727, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.2322, device='cuda:0')
tensor(0.1644, device='cuda:0')
tensor(0.1827, device='cuda:0')
tensor(0.1798, device='cuda:0')
tensor(0.1372, device='cuda:0')
tensor(0.1833, device='cuda:0')
tensor(0.1718, device='cuda:0')
tensor(0.1456, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.2067, device='cuda:0')
tensor(0.1617, device='cuda:0')
tensor(0.1298, device='cuda:0')
tensor(0.1713, device='cuda:0')
tensor(0.1478, device='cuda:0')
tensor(0.2374, device='cuda:0')
tensor(0.1802, device='cuda:0')
tensor(0.1832, device='cuda:0')
tensor(0.1877, device='cuda:0')
tensor(0.2221, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.1277, device='cuda:0')
tensor(0.2231, device='cuda:0')
tensor(0.1427, device='cuda:0')
tensor(0.2157, device='cuda:0')
tensor(0.1360, device='cuda:0')
tensor(0.1683, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.1856, device='cuda:0')
tensor(0.1912, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1767, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.1098, device='cuda:0')
tensor(0.1662, device='cuda:0')
tensor(0.1551, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.1759, device='cuda:0')
tensor(0.1328, device='cuda:0')
tensor(0.1332, device='cuda:0')
tensor(0.1405, device='cuda:0')
tensor(0.1257, device='cuda:0')
tensor(0.1926, device='cuda:0')
tensor(0.1393, device='cuda:0')
tensor(0.1300, device='cuda:0')
tensor(0.2081, device='cuda:0')
tensor(0.1448, device='cuda:0')
tensor(0.2142, device='cuda:0')
tensor(0.1660, device='cuda:0')
tensor(0.1440, device='cuda:0')
tensor(0.2112, device='cuda:0')
tensor(0.1791, device='cuda:0')
tensor(0.1460, device='cuda:0')
tensor(0.1248, device='cuda:0')
tensor(0.1057, device='cuda:0')
tensor(0.1675, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1719, device='cuda:0')
tensor(0.1561, device='cuda:0')
tensor(0.1563, device='cuda:0')
tensor(0.1222, device='cuda:0')
tensor(0.2404, device='cuda:0')
tensor(0.2344, device='cuda:0')
tensor(0.1495, device='cuda:0')
tensor(0.1712, device='cuda:0')
tensor(0.2170, device='cuda:0')
tensor(0.1171, device='cuda:0')
tensor(0.1548, device='cuda:0')
tensor(0.1279, device='cuda:0')
tensor(0.1651, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1139, device='cuda:0')
tensor(0.1264, device='cuda:0')
tensor(0.1193, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1086, device='cuda:0')
tensor(0.1661, device='cuda:0')
tensor(0.1681, device='cuda:0')
tensor(0.1855, device='cuda:0')
tensor(0.1510, device='cuda:0')
tensor(0.1982, device='cuda:0')
tensor(0.1547, device='cuda:0')
tensor(0.1338, device='cuda:0')
tensor(0.1654, device='cuda:0')
tensor(0.1516, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1835, device='cuda:0')
tensor(0.1377, device='cuda:0')
tensor(0.1194, device='cuda:0')
tensor(0.1677, device='cuda:0')
tensor(0.2042, device='cuda:0')
tensor(0.1817, device='cuda:0')
tensor(0.1727, device='cuda:0')
tensor(0.1269, device='cuda:0')
tensor(0.1624, device='cuda:0')
tensor(0.1147, device='cuda:0')
tensor(0.1641, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1528, device='cuda:0')
tensor(0.1400, device='cuda:0')
tensor(0.1561, device='cuda:0')
tensor(0.1587, device='cuda:0')
tensor(0.1967, device='cuda:0')
tensor(0.1406, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.1868, device='cuda:0')
tensor(0.1410, device='cuda:0')
tensor(0.1777, device='cuda:0')
tensor(0.1446, device='cuda:0')
tensor(0.1231, device='cuda:0')
tensor(0.1339, device='cuda:0')
tensor(0.1774, device='cuda:0')
tensor(0.1362, device='cuda:0')
tensor(0.1290, device='cuda:0')
tensor(0.1488, device='cuda:0')
tensor(0.2125, device='cuda:0')
tensor(0.1403, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1395, device='cuda:0')
tensor(0.1484, device='cuda:0')
tensor(0.1990, device='cuda:0')
tensor(0.1443, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1612, device='cuda:0')
tensor(0.1330, device='cuda:0')
tensor(0.1483, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.1805, device='cuda:0')
tensor(0.1438, device='cuda:0')
tensor(0.1302, device='cuda:0')
tensor(0.2225, device='cuda:0')
tensor(0.1147, device='cuda:0')
tensor(0.1259, device='cuda:0')
tensor(0.1101, device='cuda:0')
tensor(0.1745, device='cuda:0')
tensor(0.1536, device='cuda:0')
tensor(0.1576, device='cuda:0')
tensor(0.1435, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.1133, device='cuda:0')
tensor(0.1622, device='cuda:0')
tensor(0.1079, device='cuda:0')
tensor(0.1655, device='cuda:0')
tensor(0.1556, device='cuda:0')
tensor(0.0909, device='cuda:0')
tensor(0.1429, device='cuda:0')
tensor(0.1277, device='cuda:0')
tensor(0.1834, device='cuda:0')
tensor(0.1675, device='cuda:0')
tensor(0.1199, device='cuda:0')
tensor(0.1372, device='cuda:0')
tensor(0.1104, device='cuda:0')
tensor(0.2276, device='cuda:0')
tensor(0.1571, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1509, device='cuda:0')
tensor(0.2060, device='cuda:0')
tensor(0.1306, device='cuda:0')
tensor(0.1484, device='cuda:0')
tensor(0.1642, device='cuda:0')
tensor(0.1705, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1535, device='cuda:0')
tensor(0.1872, device='cuda:0')
tensor(0.1943, device='cuda:0')
tensor(0.1711, device='cuda:0')
tensor(0.1281, device='cuda:0')
tensor(0.1313, device='cuda:0')
tensor(0.1283, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1166, device='cuda:0')
tensor(0.2205, device='cuda:0')
tensor(0.1291, device='cuda:0')
tensor(0.1170, device='cuda:0')
tensor(0.1280, device='cuda:0')
tensor(0.1736, device='cuda:0')
tensor(0.1488, device='cuda:0')
tensor(0.1365, device='cuda:0')
tensor(0.0918, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.1320, device='cuda:0')
tensor(0.1212, device='cuda:0')
tensor(0.1210, device='cuda:0')
tensor(0.1313, device='cuda:0')
tensor(0.1029, device='cuda:0')
tensor(0.2160, device='cuda:0')
tensor(0.2089, device='cuda:0')
tensor(0.1253, device='cuda:0')
tensor(0.1160, device='cuda:0')
tensor(0.1549, device='cuda:0')
tensor(0.1744, device='cuda:0')
tensor(0.1674, device='cuda:0')
tensor(0.1152, device='cuda:0')
tensor(0.1413, device='cuda:0')
tensor(0.2075, device='cuda:0')
tensor(0.1735, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.2067, device='cuda:0')
tensor(0.1610, device='cuda:0')
tensor(0.1780, device='cuda:0')
tensor(0.1383, device='cuda:0')
tensor(0.2067, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1205, device='cuda:0')
tensor(0.1930, device='cuda:0')
tensor(0.1257, device='cuda:0')
tensor(0.1729, device='cuda:0')
tensor(0.1215, device='cuda:0')
tensor(0.1182, device='cuda:0')
tensor(0.1776, device='cuda:0')
tensor(0.1113, device='cuda:0')
tensor(0.1796, device='cuda:0')
tensor(0.1441, device='cuda:0')
tensor(0.1130, device='cuda:0')
tensor(0.1830, device='cuda:0')
tensor(0.1675, device='cuda:0')
tensor(0.1414, device='cuda:0')
tensor(0.1324, device='cuda:0')
tensor(0.1428, device='cuda:0')
tensor(0.1628, device='cuda:0')
tensor(0.1438, device='cuda:0')
tensor(0.2055, device='cuda:0')
tensor(0.1731, device='cuda:0')
tensor(0.1499, device='cuda:0')
tensor(0.1121, device='cuda:0')
tensor(0.1579, device='cuda:0')
tensor(0.1702, device='cuda:0')
tensor(0.1540, device='cuda:0')
tensor(0.1333, device='cuda:0')
tensor(0.1299, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1419, device='cuda:0')
tensor(0.2427, device='cuda:0')
tensor(0.1165, device='cuda:0')
tensor(0.1372, device='cuda:0')
tensor(0.1396, device='cuda:0')
tensor(0.1074, device='cuda:0')
tensor(0.1183, device='cuda:0')
tensor(0.1541, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1392, device='cuda:0')
tensor(0.2056, device='cuda:0')
tensor(0.1754, device='cuda:0')
tensor(0.1624, device='cuda:0')
tensor(0.1747, device='cuda:0')
tensor(0.1738, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1610, device='cuda:0')
tensor(0.2056, device='cuda:0')
tensor(0.1357, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.1453, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1665, device='cuda:0')
tensor(0.1357, device='cuda:0')
tensor(0.1966, device='cuda:0')
tensor(0.1591, device='cuda:0')
tensor(0.1016, device='cuda:0')
tensor(0.1737, device='cuda:0')
tensor(0.1556, device='cuda:0')
tensor(0.1267, device='cuda:0')
tensor(0.1316, device='cuda:0')
tensor(0.1301, device='cuda:0')
tensor(0.1211, device='cuda:0')
tensor(0.1479, device='cuda:0')
tensor(0.1176, device='cuda:0')
tensor(0.1283, device='cuda:0')
tensor(0.1442, device='cuda:0')
tensor(0.1232, device='cuda:0')
tensor(0.1258, device='cuda:0')
tensor(0.1146, device='cuda:0')
tensor(0.1103, device='cuda:0')
tensor(0.1161, device='cuda:0')
tensor(0.1832, device='cuda:0')
tensor(0.1157, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.1065, device='cuda:0')
tensor(0.1435, device='cuda:0')
tensor(0.1673, device='cuda:0')
tensor(0.1510, device='cuda:0')
tensor(0.1391, device='cuda:0')
tensor(0.1350, device='cuda:0')
tensor(0.1732, device='cuda:0')
tensor(0.1711, device='cuda:0')
tensor(0.1413, device='cuda:0')
tensor(0.1880, device='cuda:0')
tensor(0.1583, device='cuda:0')
tensor(0.1270, device='cuda:0')
tensor(0.1915, device='cuda:0')
tensor(0.1576, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.1345, device='cuda:0')
tensor(0.1306, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.1790, device='cuda:0')
tensor(0.1476, device='cuda:0')
tensor(0.1661, device='cuda:0')
tensor(0.2224, device='cuda:0')
tensor(0.1911, device='cuda:0')
tensor(0.1843, device='cuda:0')
tensor(0.1382, device='cuda:0')
tensor(0.1617, device='cuda:0')
tensor(0.1955, device='cuda:0')
tensor(0.1775, device='cuda:0')
tensor(0.1609, device='cuda:0')
tensor(0.1312, device='cuda:0')
tensor(0.1702, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.1165, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.1835, device='cuda:0')
tensor(0.1684, device='cuda:0')
tensor(0.1268, device='cuda:0')
tensor(0.1744, device='cuda:0')
tensor(0.1048, device='cuda:0')
tensor(0.1458, device='cuda:0')
tensor(0.1543, device='cuda:0')
tensor(0.1361, device='cuda:0')
tensor(0.1867, device='cuda:0')
tensor(0.1348, device='cuda:0')
tensor(0.2189, device='cuda:0')
tensor(0.1532, device='cuda:0')
tensor(0.1428, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.2140, device='cuda:0')
tensor(0.1360, device='cuda:0')
tensor(0.1400, device='cuda:0')
tensor(0.1934, device='cuda:0')
tensor(0.2087, device='cuda:0')
tensor(0.2096, device='cuda:0')
tensor(0.1941, device='cuda:0')
tensor(0.1190, device='cuda:0')
tensor(0.1294, device='cuda:0')
tensor(0.1103, device='cuda:0')
tensor(0.1438, device='cuda:0')
tensor(0.1945, device='cuda:0')
tensor(0.1672, device='cuda:0')
tensor(0.1206, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.1576, device='cuda:0')
tensor(0.1820, device='cuda:0')
tensor(0.1190, device='cuda:0')
tensor(0.1270, device='cuda:0')
tensor(0.1502, device='cuda:0')
tensor(0.1347, device='cuda:0')
tensor(0.1592, device='cuda:0')
tensor(0.1198, device='cuda:0')
tensor(0.1468, device='cuda:0')
tensor(0.2339, device='cuda:0')
tensor(0.1278, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.1663, device='cuda:0')
tensor(0.1628, device='cuda:0')
tensor(0.1666, device='cuda:0')
tensor(0.1568, device='cuda:0')
tensor(0.1583, device='cuda:0')
tensor(0.1567, device='cuda:0')
tensor(0.1843, device='cuda:0')
tensor(0.1150, device='cuda:0')
tensor(0.1571, device='cuda:0')
tensor(0.1535, device='cuda:0')
tensor(0.1461, device='cuda:0')
tensor(0.1451, device='cuda:0')
tensor(0.1591, device='cuda:0')
tensor(0.1610, device='cuda:0')
tensor(0.1412, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1504, device='cuda:0')
tensor(0.1251, device='cuda:0')
tensor(0.1581, device='cuda:0')
tensor(0.1822, device='cuda:0')
tensor(0.1327, device='cuda:0')
tensor(0.1641, device='cuda:0')
tensor(0.1830, device='cuda:0')
tensor(0.1609, device='cuda:0')
tensor(0.1254, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.1186, device='cuda:0')
tensor(0.1149, device='cuda:0')
tensor(0.1161, device='cuda:0')
tensor(0.2318, device='cuda:0')
tensor(0.2069, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.1581, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(0.1867, device='cuda:0')
tensor(0.1359, device='cuda:0')
tensor(0.1104, device='cuda:0')
tensor(0.1786, device='cuda:0')
tensor(0.1546, device='cuda:0')
tensor(0.1395, device='cuda:0')
tensor(0.1931, device='cuda:0')
tensor(0.1448, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.1167, device='cuda:0')
tensor(0.0957, device='cuda:0')
tensor(0.1462, device='cuda:0')
tensor(0.1588, device='cuda:0')
tensor(0.1625, device='cuda:0')
tensor(0.1838, device='cuda:0')
tensor(0.1559, device='cuda:0')
tensor(0.1557, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1411, device='cuda:0')
tensor(0.1584, device='cuda:0')
tensor(0.1343, device='cuda:0')
tensor(0.1692, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.1813, device='cuda:0')
tensor(0.1859, device='cuda:0')
tensor(0.1412, device='cuda:0')
tensor(0.1299, device='cuda:0')
tensor(0.1309, device='cuda:0')
tensor(0.1655, device='cuda:0')
tensor(0.1086, device='cuda:0')
tensor(0.1361, device='cuda:0')
tensor(0.0984, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.1379, device='cuda:0')
tensor(0.1653, device='cuda:0')
tensor(0.1029, device='cuda:0')
tensor(0.1250, device='cuda:0')
tensor(0.1480, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.1230, device='cuda:0')
tensor(0.1230, device='cuda:0')
tensor(0.0889, device='cuda:0')
tensor(0.1137, device='cuda:0')
tensor(0.1041, device='cuda:0')
tensor(0.1385, device='cuda:0')
tensor(0.1460, device='cuda:0')
tensor(0.2285, device='cuda:0')
tensor(0.1760, device='cuda:0')
tensor(0.1213, device='cuda:0')
tensor(0.1772, device='cuda:0')
tensor(0.1612, device='cuda:0')
tensor(0.1609, device='cuda:0')
tensor(0.1332, device='cuda:0')
tensor(0.1650, device='cuda:0')
tensor(0.1718, device='cuda:0')
tensor(0.1360, device='cuda:0')
tensor(0.1600, device='cuda:0')
tensor(0.1946, device='cuda:0')
tensor(0.1362, device='cuda:0')
tensor(0.1012, device='cuda:0')
tensor(0.1127, device='cuda:0')
tensor(0.1269, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.0922, device='cuda:0')
tensor(0.0970, device='cuda:0')
tensor(0.1699, device='cuda:0')
tensor(0.1074, device='cuda:0')
tensor(0.1649, device='cuda:0')
tensor(0.1251, device='cuda:0')
